Numero_da_Ocorrencia,Numero_da_Ficha,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Hora_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,ICAO,Tipo_de_Aerodromo,Historico,Matricula,Categoria_da_Aeronave,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Aerodromo_de_Destino,Aerodromo_de_Origem,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,CLS,Tipo_ICAO,PMD,Numero_de_Assentos,Nome_do_Fabricante,PSSO
25626,202096550,MINIST.JUST.SECRET.NAC.DE SEG.PUB.,Acidente,2020-10-08,16:00,CORUMBÁ,MS,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,-,"A aeronave decolou do Aeroporto Internacional de Corumbá (SBCR), Corumbá, MS, com destino ao Aeródromo/Hotel Porto Jofre (SJQI), MT, por volta das 15h00min UTC, a fim de retornar à base operacional, com dois pilotos e um graduado operacional (fiel) a bordo. A aproximadamente 5 minutos para o pouso, o alarme de perda de rotação soou, ocorrendo, na sequência, uma perda de potência no motor da aeronave. O piloto prosseguiu para um pouso de emergência em uma área descampada à sua frente. Após o toque, houve a quebra dos esquis da aeronave e seu tombamento lateral. Os pilotos sofreram lesões graves e o terceiro tripulante sofreu lesões leves. A aeronave teve danos substanciais.",PRMJZ,ADF,SCF-PP,Cruzeiro,Operação Pública,Substancial,SJQI,SBCR,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS 350 B2,H1T,AS50,2250.0,6.0,EUROCOPTER FRANCE,verdadeiro
26304,202056314,AERO AGRICOLA ROSARIENSE LTDA,Acidente,2020-12-09,21:30:00,SANT'ANA DO LIVRAMENTO,RS,Sul,COMBUSTÍVEL,Fora de Aeródromo,-,"A aeronave decolou da pista pouso eventual da Fazenda Colorado, município de Santana do Livramento, RS, às 18h10min (UTC), a fim de realizar pulverização de defensivos agrícolas em lavoura de arroz, com um piloto a bordo. Após 20 minutos de voo, a aeronave teve um apagamento do motor. O piloto realizou pouso de emergência em lavoura de soja, porém antes do pouso colidiu o trem de pouso principal em uma valeta. A aeronave teve danos substanciais. O tripulante saiu ileso.",PRREN,S11,FUEL,Voo a baixa altura,Operação Agrícola,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A188B,L1P,C188,1905.0,1.0,CESSNA AIRCRAFT,verdadeiro
25763,202041291,KAIO GENARIO FERREIRA DE MELO,Acidente,2020-10-15,11:00,RIO CLARO,RJ,Sudeste,PERDA DE CONTROLE EM VOO,Fora de Aeródromo,-,"A aeronave decolou de local desconhecido para destino desconhecido com um piloto e um passageiro a bordo. Durante o voo, a aeronave colidiu contra o terreno no alto de um morro no distrito de Passa Três, Rio Claro (RJ). A aeronave teve danos substanciais. O piloto e o passageiro sofreram lesões fatais.",PRESK,TPP,LOC-I,Cruzeiro,Voo Privado,Substancial,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R44,H1P,R44,1088.0,4.0,ROBINSON HELICOPTER,verdadeiro
26123,202060427,MARCIO ROBERTO SALES DE ARAUJO,Acidente,2020-11-19,15:00,IPIXUNA DO PARÁ,PA,Norte,OUTROS,Aeródromo não cadastrado,,"A AERONAVE DECOLOU DE UMA PISTA DESCONHECIDA COM DESTINO A UMA PISTA NÃO REGISTRADA LOCALIZADA NO MUNICÍPIO DE IPIXUNA DO PARÁ, PA, EM HORÁRIO DESCONHECIDO, COM DOIS OCUPANTES A BORDO E CARGA DE ENTORPECENTES.DURANTE O POUSO NA PISTA NÃO REGISTRADA A AERONAVE FOI INTERCEPTADA POR AGENTES DA POLÍCIA FEDERAL. A AERONAVE SAIU LATERALMENTE PELA DIREITA E PAROU FORA DOS LIMITES DA PISTA, APÓS SER ALVEJADA POR TIROS. A AERONAVE TEVE DANOS SUBSTANCIAIS.O TRIPULANTE SOFREU LESÕES LEVES E O PASSAGEIRO SAIU ILESO.",PTOQB,TPP,OTHR,Pouso,Voo Privado,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58TC,L2P,BE58,2767.0,6.0,BEECH AIRCRAFT,falso
26123,202060427,MARCIO ROBERTO SALES DE ARAUJO,Acidente,2020-11-19,15:00,IPIXUNA DO PARÁ,PA,Norte,EXCURSÃO DE PISTA,Aeródromo não cadastrado,,"A AERONAVE DECOLOU DE UMA PISTA DESCONHECIDA COM DESTINO A UMA PISTA NÃO REGISTRADA LOCALIZADA NO MUNICÍPIO DE IPIXUNA DO PARÁ, PA, EM HORÁRIO DESCONHECIDO, COM DOIS OCUPANTES A BORDO E CARGA DE ENTORPECENTES.DURANTE O POUSO NA PISTA NÃO REGISTRADA A AERONAVE FOI INTERCEPTADA POR AGENTES DA POLÍCIA FEDERAL. A AERONAVE SAIU LATERALMENTE PELA DIREITA E PAROU FORA DOS LIMITES DA PISTA, APÓS SER ALVEJADA POR TIROS. A AERONAVE TEVE DANOS SUBSTANCIAIS.O TRIPULANTE SOFREU LESÕES LEVES E O PASSAGEIRO SAIU ILESO.",PTOQB,TPP,RE,Pouso,Voo Privado,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58TC,L2P,BE58,2767.0,6.0,BEECH AIRCRAFT,falso
26306,202035112,BLUE SKY TAXI AEREO LTDA-ME,Acidente,2020-12-11,21:15,ANGRA DOS REIS,RJ,Sudeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Fora de Aeródromo,-,"A aeronave decolou da Ilha do Cavaco (SIVA), Angra dos Reis - RJ com destino ao Hotel do Bosque (ZZZZ) com um piloto a bordo. Durante a aproximação para pouso a aeronave colidiu contra fiação da torre de transmissão de energia elétrica. A aeronave teve danos substanciais. O piloto sofreu lesão fatal. Houve dano a rede elétrica, o local ficou sem energia devido ao rompimento dos cabos.",PPMSA,TPX,CTOL,Pouso,Táxi Aéreo,Substancial,****,****,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206B,H1T,B06,1451.0,5.0,BELL HELICOPTER,verdadeiro
26423,202059431,COMBATE AVIACAO AGRICOLA LTDA - ME,Acidente,2020-12-18,13:00,GOIATUBA,GO,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,Fora de Aeródromo,-,"A aeronave decolou da Área de pouso para uso aeroagrícola da Fazenda Rancho Fundo, Goiatuba, GO, a fim de realizar voo local de aplicação de defensivos agrícolas, com um piloto a bordo. Durante o retorno para abastecimento na referida área de pouso, a aeronave chocou-se contra um cabo de aço (estaio) de fixação de uma antena de rádio/internet e, na sequência, colidiu contra o solo. A aeronave teve danos substanciais. O piloto sofreu lesões fatais.",PTGBJ,S11,LALT,Cruzeiro,Operação Agrícola,,****,****,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMB-200A,L1P,IPAN,1550.0,1.0,NEIVA,verdadeiro
27045,202107020,VIAGRO VIDOTTI AERO AGRICOLA,Incidente Grave,2021-02-10,13:40,MANDAGUAÇU,PR,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,-,"A aeronave decolou da Área de Pouso para Uso Aeroagrícola Fazenda Santa Izaura, município de Mandaguaçu, PR, por volta das 13h40min (UTC), a fim de realizar voo local de pulverização, com um tripulante a bordo.Após a decolagem, ao iniciar a redução de potência, o piloto percebeu uma variação nos parâmetros do motor e retornou para pouso. Na sequência houve o apagamento do motor e a aeronave realizou um pouso forçado na lavoura.A aeronave teve danos leves.O tripulante saiu ileso.",PTUPY,S05,SCF-PP,Decolagem,Operação Agrícola,Leve,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,EMB-202,L1P,IPAN,1800.0,1.0,NEIVA,verdadeiro
26723,202143203,BRAVO HELICOPTEROS ESC. DE AV. CIVIL LTD,Acidente,2021-01-05,20:07,IRACEMA,RR,Norte,VOO CONTROLADO CONTRA O TERRENO,Fora de Aeródromo,-,"A aeronave decolou de um heliponto não registrado, denominado 'Área Zulu', localizado no município de Boa Vista, RR (ZZZZ), com destino a uma área de pouso eventual, localizada na Serra dos Surucucus, município de Iracema, RR, tendo apenas o piloto a bordo, com a finalidade de realizar um voo de transporte de passageiro da área de pouso eventual para Boa Vista.Durante aproximação para pouso no destino, houve colisão do esqui da aeronave com a copa da vegetação e queda em meio à mata fechada.A aeronave teve danos substanciais.O piloto sofreu ferimentos leves.",PPCLD,PRI,CFIT,Voo a baixa altura,Voo Privado,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R44 II,H1P,R44,1134.0,4.0,ROBINSON HELICOPTER,verdadeiro
27043,202196340,VOARE TAXI AEREO LTDA,Acidente,2021-02-03,16:29:00,IRACEMA,RR,Norte,INDETERMINADO,Fora de Aeródromo,-,"A aeronave decolou do Aeródromo Pouso da Águia (SWPD), Cantá, RR, com destino ao Aeródromo Paa-Piu (SWMV), Iracema, RR, a fim de realizar voo de transporte de material, com um piloto a bordo. Como não houve o pouso na localidade de destino, nem de alternativa nos horários estimados, o operador contatou o SERIPA VII, bem como o ARCC-AZ (SALVAERO AMAZÔNICO), que coordenou as ações de busca. Foi informado pela equipe de Busca e Salvamento que a aeronave foi avistada em local de difícil acesso, no topo de uma elevação, porém, não há informações sobre o estado do piloto.",PTKVW,TPX,UNK,Cruzeiro,Táxi Aéreo,Substancial,SWMV,SWPD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,U206F,L1P,C206,1633.0,6.0,CESSNA AIRCRAFT,verdadeiro
